Name ,State,URL
Plano ISD,TX,http://www.pisd.edu/about.us/board.of.trustees/meetings.minutes.shtml#minutes
San Antonio ISD,TX,http://www.southsanisd.net/board_education.cfm?subpage=539496
San Bernardino City Unified,CA,http://www.sbcusd.k12.ca.us/Archive.aspx?AMID=36
Forsyth County Schools,NC,https://eboard.eboardsolutions.com/Meetings/MinutesListing.aspx?S=4069&Ty
Osceola,FL,http://www.osceola.k12.fl.us/board/index.asp
Cumberland County Schools,NC,http://ccs.k12.nc.us/category/board-minutes/
Tucson Unified District,AZ,http://www.tusd.k12.az.us/contents/govboard/gbminutes.html
Capistrano Unified,CA,http://capousd.ca.schoolloop.com/cms/page_view?d=x&piid=&vpid=1296916884493
Corona-Norco Unified,CA,http://www.cnusd.k12.ca.us/page/5
Cherry Creek School District No. 5/Arapahoe County,CO,http://www.cherrycreekschools.org/BOE/pages/Board-Meeting-Minutes.aspx
Pasadena ISD,TX,http://www1.pasadenaisd.org/school_board/board_report/
Lewisville ISD,TX,https://v3.boardbook.org/Public/PublicHome.aspx?ak=61902
Conroe ISD,TX,http://www.conroeisd.net/board/meetings/agendas.asp
Columbus City School District,OH,http://www.columbus.k12.oh.us/website.nsf/(ccs_pages)/Board_Of_Education_Agendas?opendocument?OpenForm&parented=yes
Howard County Public Schools,MD,http://www.boarddocs.com/mabe/hcpssmd/Board.nsf/goto?open&id=89JHPQ497E42
Jordan District,UT,http://www.jordandistrict.org/board/meetings/
Clayton County,GA,http://www.clayton.k12.ga.us/administration/boardofeducation/20102011BdMtgs.asp
Brownsville ISD,TX,http://www.bisd.us/html/01_BISD/01_board_agendas/04_13-14_Board_of_Trustees_MeetingAgendas.html
Atlanta Public Schools,GA,http://www.atlanta.k12.ga.us/Page/6989
Henrico Co Pblc Schs,VA,http://www.boarddocs.com/vsba/henrico/Board.nsf/Public
Omaha Public Schools,NE,http://www.oppd.com/AboutUs/Company/BoardofDirectors/22_002702
Wichita,KS,http://boe.usd259.org/modules/groups/group_pages.phtml?gid=1505278&nid=122792&sessionid=b6fbf4e6e6f6639ef9c087000ac73057
Anchorage School District,AK,http://www.asdk12.org/School_Board/Archives/index.asp
Garden Grove Unified,CA,http://www.ggusd.us/apps/pages/index.jsp?uREC_ID=216149&type=d&pREC_ID=476485
Sacramento City Unified,CA,http://www.scusd.edu/agendas-minutes
Seattle Public Schools,WA,http://district.seattleschools.org/modules/cms/pages.phtml?sessionid=d95c0d1da54593fe3f07c5b57947309a&pageid=205535&sessionid=d95c0d1da54593fe3f07c5b57947309a
Shelby County,TN,http://www.shelby.kyschools.us/districtBoardEd.aspx
